,reference,translation
1811,"But we are talking about something that is intelligent, that is not a mindless monster and Johann knew this.","but we're talking about something that's intelligent, and he's not a dumb monster."
1812,Die!,dying!
1813,"No, that's a rotten question for a man to ask his wife.","no, it's from a man repugnant to ask about his wife."
1814,"Dr. Prentiss, I am going to touch your stuff. You are not going to like it, but you are going to have to get over it.","Dr. Prentiss, I'm gonna touch your tits. You're not going to like it, but you're gonna have to get over it."
1815,"Oh, shit, that's amazing.","oh, my God, this is amazing."
1816,You two in the same car gonna make for a long-ass drive to Jersey.,"the two of you in a car, that's going to be a stupid trip to Jersey."
1817,"Now, when you go to piece a train, you put an outline on the train and you can say goodbye, the train pulls out 10 minutes later.","now, if you're going to slow down the train, you'll just make it up, and you can take a shit, the train leaves in 10 minutes."
1818,"That's why it's called imagination, dummy.","that's why it's called imagination, fool."
1819,"Instead of backing us up, you put a gun to Birkhoff's head, and you tried to shoot Michael.","instead of helping, you pointed a gun at Birkhoff and tried to shoot Michael."
1820,Man!,shit!
1821,Who the hell would decapitate a reverend?,who would shadow a reverend?
1822,I gift you my life in return for yours. This heart of mine is crazy for my love.,"I'll take your life, and if you want mine, take it.... my heart goes out of love with love."
1823,I just picked it out of that trash can over there.,I just pulled her out of that garbage can.
1824,"Hey, Jackie you want to see something hot? watch me drink raw eggs!","you want to see something sexy, watch me drink raw eggs!"
1825,"And you ran away when you were told you were going into combat, you little dogs pizzle! said Tonker.","""and when they told us we were going to fight, you'd run away like a little boy, you whacked-out goatee,"" said Tonker."
1826,"I apologized like a madman, and they were very polite and nice about it, but it was very embarrassing anyway.","I was apologetic about my dick, and the two of them were very polite and kind, but it was all so embarrassing."
1827,It still stinks.,he still smells.
1828,"Did you know that as a doctor, I was able to diagnose myself as a giant tool?",did you know that as a doctor I was able to diagnose as a terrible asshole?
1829,"Switch off the air conditioning, you idiots!",turn off the air conditioner!
1830,Karl is quite right: we are stupid to stand here tempting fate.,"Karl is absolutely right, it's not sensible to stand here and try to tempt fate."
1831,We're killing it as a team.,we beat them as a team.
1832,"And he... A for Apple, B for Ball...","and he, A as an absolute, B as an idiot."
1833,That means the guard should be drugged by now.,the supervisor should be drugged by now.
1834,"I can look into tomorrow and see both men die, whereas only one may actually fall.'","I can look into tomorrow and see both men die, and only one of them may die. """
1835,"W-T-F, ""T""?","WTF, ""T""?"
1836,What the hell does that mean?,what's that supposed to mean?
1837,- Go home to your mama And tell her your kung fu is subpar.,go home to your mama and tell her your kung fu sucks.
1838,But you were put in restraints for a day and a half so you wouldn't injure yourself.,one-and-a-half day you were fucked up so you wouldn't hurt yourself.
1839,"Why would he do that, unless you were a Nazi fellow traveller?",why would he do that if you weren't a Nazi?
1840,Something with x and y all over the damn page.,formula with x and y all over the side.
1841,I can smell that nasty outfit all the way from here!,I can smell this shit from here!
1842,That woman was really cold.,the girl was so cold.
1843,"Compared to most people, I'm a fucking Borgia Pope.","contrary to most people, I am the Pope of Borgia."
1844,"If he had then accelerated, the second bullet would have got him, but some blessed instinct made his foot stamp the brake at the same time as his head ducked so swiftly that his chin hit the horn button, nearly knocking him out.","if he had quickened, a second bullet would have taken him, but a kind of happy instinct put him on the brake while defying his head at the same time, when he reached into the clown's button and almost knocked himself out."
1845,"There were tough 9 groups from Alabama, shifty men from New York, all kinds j from all over.","guys from Alabama, a skilful little thief from New York, were all sorts of things, and from all corners of the country."
1846,"That pretty ass of yours will sag, your belly will grow soft, and your back will ache in the night, and grey hairs will sprout from your ears.","you'll have a soft belly, they'll hurt your back in the night, and you'll have gray hairs sticking out of your ears."
1847,"Get out of our way so we can find our captain, or you can explain to your chieftain why he didn't get the information we were sent to fetch back here!""","get out of our way, asshole, so we can find your captain, or you'll have to explain to your chief why he didn't get the news we put our throats out for! """
1848,"It's just that, shit that happened, because after the therapy and the psychiatry and the meetings, you know what it all comes down to?","it's equal to what happened because after therapy and psychiatry and the sessions, you know what happens?"
1849,I love you like a bastard son.,I love you like an illegitimate son.
1850,"Tremaine loves... He's... First of all, he has a cell phone in one hand, an earpiece, a walkie, and he's driving.","Jeff's crazy, he's got a cell phone in one hand, he's got an earphone in his ear, and he's driving."
1851,He was our neighborhood's small time thug.,"he lived in our neighborhood, he was a small criminal."
1852,How are we gonna get the goats across the border?,how do we get tits across the border?
1853,"It was my father, Gottfried, who showed me how I had to strangle her.",my father Gottfried showed me how to strangle her.
1854,"""Who the filth are you?"" he exclaimed.","""what are you, unruly?"" He called out."
1855,Fundamentalist terror network based in the Philippines.,a fundamentalist terrorist network in the Philippines.
1856,Don't let me go like this.,don't let me die like that!
1857,"""I should probably pleasure you","""I should be happy to satisfy you"
1858,"""Damn straight I am.""","""I know what I'm doing."""
1859,"To capture, rather than kill?",rather than kill them?
1860,"Once you pay the toll, I want you to come over to Dennis over by his bed here, okay?","if you pay the midget, I want you to go to Dennis' on his bed, OK?"
1861,"I don't like to speak ill of the dead but between you and me, and whoever's listening David Chan was a self-inflated, pig-headed asshole who no doubt deserved whatever came his way.",the kind of talk I don't like but between us and anyone who's still listening to David Chan was a self-centered tumult nutter who certainly deserved everything he's ever done.
